timestamp,stress,body_battery,respiration_rate,heart_rate,activity_type,intensity,cycles,active_time,active_calories
2026-06-03 00:00:00,,,,72.0,,,,,
2026-06-03 00:01:00,12,32.0,13.58,71.0,,,,,
2026-06-03 00:02:00,20,32.0,15.36,74.0,,,,,
2026-06-03 00:03:00,,,14.91,73.0,,,,,
2026-06-03 00:04:00,22,32.0,16.58,80.0,,,,,
2026-06-03 00:05:00,39,32.0,,76.0,,,,,
2026-06-03 00:06:00,,,15.25,69.0,,,,,
2026-06-03 00:07:00,16,32.0,13.75,71.0,,,,,
2026-06-03 00:08:00,18,32.0,15.08,72.0,,,,,
2026-06-03 00:09:00,19,32.0,14.75,,walking,2.0,4645.0,5309.0,338.0
2026-06-03 00:10:00,15,32.0,15.16,84.0,,,,,
2026-06-03 00:11:00,15,33.0,13.5,71.0,,,,,
2026-06-03 00:12:00,19,33.0,12.91,78.0,,,,,
2026-06-03 00:13:00,14,33.0,13.66,,walking,2.0,4713.5,5376.0,340.0
2026-06-03 00:14:00,13,33.0,12.83,74.0,,,,,
2026-06-03 00:15:00,13,33.0,13.41,68.0,,,,,
2026-06-03 00:16:00,17,33.0,15.0,61.0,,,,,
2026-06-03 00:17:00,17,33.0,13.33,59.0,,,,,
2026-06-03 00:18:00,16,33.0,14.91,77.0,,,,,
2026-06-03 00:19:00,13,34.0,13.16,82.0,,,,,
2026-06-03 00:20:00,17,34.0,14.75,,walking,2.0,4836.0,5508.0,347.0
2026-06-03 00:21:00,23,34.0,13.33,85.0,,,,,
2026-06-03 00:22:00,7,34.0,13.16,69.0,,,,,
2026-06-03 00:23:00,8,34.0,13.5,64.0,,,,,
2026-06-03 00:24:00,10,34.0,15.08,,,,,,
2026-06-03 00:25:00,8,35.0,14.16,63.0,,,,,
2026-06-03 00:26:00,8,35.0,15.0,73.0,,,,,
2026-06-03 00:27:00,10,35.0,13.91,61.0,,,,,
2026-06-03 00:28:00,12,35.0,13.0,58.0,,,,,
2026-06-03 00:29:00,15,35.0,15.25,64.0,,,,,
2026-06-03 00:30:00,,,12.75,74.0,,,,,
2026-06-03 00:31:00,10,36.0,15.41,64.0,,,,,
2026-06-03 00:32:00,10,36.0,15.08,69.0,,,,,
2026-06-03 00:33:00,9,36.0,14.58,64.0,,,,,
2026-06-03 00:34:00,8,36.0,15.63,60.0,,,,,
2026-06-03 00:35:00,10,36.0,14.83,62.0,,,,,
2026-06-03 00:36:00,11,37.0,14.41,60.0,,,,,
2026-06-03 00:37:00,10,37.0,15.5,60.0,,,,,
2026-06-03 00:38:00,9,37.0,15.33,61.0,,,,,
2026-06-03 00:39:00,11,37.0,15.91,61.0,,,,,
2026-06-03 00:40:00,11,37.0,16.0,60.0,,,,,
2026-06-03 00:41:00,10,38.0,16.0,70.0,,,,,
2026-06-03 00:42:00,11,38.0,16.0,58.0,,,,,
2026-06-03 00:43:00,10,38.0,15.25,59.0,,,,,
2026-06-03 00:44:00,13,38.0,15.91,74.0,,,,,
2026-06-03 00:45:00,21,38.0,13.45,61.0,,,,,
